n,tiempo_ms
100,0.329152
200,0.640322
300,1.38387
400,2.67412
500,8.87458
600,9.70307
700,9.45282
800,11.0953
900,17.2624
1000,21.177
1100,20.2511
1200,24.3486
1300,27.9417
1400,32.8124
1500,37.8404
1600,45.0256
1700,47.0579
1800,50.7945
1900,55.5619
2000,65.8047
2100,68.3689
2200,76.3862
2300,83.8667
2400,86.3512
2500,94.7151
2600,103.019
2700,114.794
2800,118.387
2900,128.437
3000,144.247
3100,146.58
3200,152.138
3300,161.846
3400,178.604
3500,182.757
3600,198.48
3700,205.722
3800,212.353
3900,231.002
4000,235.525
4100,254.504
4200,258.119
4300,282.974
4400,284.768
4500,302.389
4600,311.518
4700,322.451
4800,342.376
4900,352.231
5000,363.847
5100,378.954
5200,565.853
5300,420.859
5400,429.623
5500,444.88
5600,464.321
5700,478.293
5800,674.668
5900,512.458
6000,533.641
6100,551.956
6200,578.11
6300,601.945
6400,632.259
6500,614.377
6600,641.505
6700,660.847
6800,671.552
6900,711.509
7000,863.584
7100,747.459
7200,759.007
7300,806.972
7400,815.603
7500,827.842
7600,857.845
7700,884.822
7800,924.209
7900,922.32
8000,946.945
8100,1169.51
8200,992.764
8300,1009.98
8400,1041.53
8500,1053.92
8600,1076.99
8700,1096.65
8800,1126.5
8900,1155.97
9000,1170.61
9100,1375.98
9200,1257.02
9300,1279.63
9400,1284.01
9500,1322.36
9600,1355.92
9700,1391.14
9800,1629.77
9900,1452.26
10000,1498.99
