n,tiempo_ms
200,3.59459
400,7.84205
600,15.64
800,15.0554
1000,18.5277
1200,23.2168
1400,25.1965
1600,29.3843
1800,33.0453
2000,36.312
2200,40.9214
2400,44.9061
2600,46.8812
2800,49.7623
3000,53.6649
3200,57.2154
3400,62.8817
3600,64.3665
3800,68.1199
4000,71.1702
4200,74.9112
4400,78.2807
4600,87.3546
4800,90.4091
5000,88.9919
5200,93.2644
5400,138.816
5600,118.749
5800,102.932
6000,106.952
6200,109.89
6400,112.416
6600,118.112
6800,119.043
7000,123.767
7200,126.154
7400,130.179
7600,132.695
7800,136.99
8000,139.93
8200,143.841
8400,146.895
8600,150.648
8800,155.978
9000,157.017
9200,160.766
9400,164.238
9600,167.42
9800,170.042
10000,177.507
10200,178.479
10400,182.929
10600,185.992
10800,189.295
11000,191.574
11200,196.018
11400,198.767
11600,203.309
11800,206.867
12000,208.922
12200,224.632
12400,216.338
12600,220.432
12800,223.28
13000,226.579
13200,230.06
13400,232.977
13600,237.027
13800,246.064
14000,245.921
14200,248.55
14400,339.919
14600,265.026
14800,261.62
15000,264.763
15200,266.353
15400,273.424
15600,274.78
15800,275.5
16000,279.699
16200,284.37
16400,287.518
16600,293.522
16800,295.465
17000,299.833
17200,302.173
17400,309.835
17600,315.095
17800,325.489
18000,316.81
18200,323.391
18400,323.658
18600,327.293
18800,334.486
19000,337.438
19200,340.423
19400,344.619
19600,351.973
19800,359.667
20000,358.945
