n,tiempo_ms
100,7.62162
200,14.2408
300,27.0016
400,12.3337
500,10.0785
600,11.5808
700,12.3278
800,15.9235
900,17.0445
1000,19.7787
1100,20.5741
1200,22.2037
1300,24.9559
1400,26.5558
1500,29.8176
1600,30.0954
1700,31.7221
1800,32.6303
1900,35.3825
2000,35.8711
2100,38.3532
2200,40.841
2300,41.0139
2400,43.55
2500,45.2107
2600,47.0639
2700,49.611
2800,50.5576
2900,51.032
3000,53.7894
3100,55.4761
3200,57.4669
3300,60.4668
3400,60.1071
3500,62.3474
3600,66.6911
3700,66.2623
3800,67.1581
3900,68.9238
4000,72.5814
4100,71.9794
4200,74.1097
4300,77.2081
4400,76.7688
4500,79.5363
4600,80.0211
4700,83.5872
4800,84.2642
4900,87.4834
5000,87.3798
5100,87.7568
5200,90.0455
5300,92.0426
5400,94.2575
5500,100.995
5600,97.2724
5700,98.8292
5800,100.118
5900,102.884
6000,110.7
6100,106.15
6200,109.927
6300,107.648
6400,115.477
6500,114.754
6600,112.957
6700,118.791
6800,122.532
6900,126.402
7000,120.693
7100,124.949
7200,125.668
7300,132.236
7400,129.326
7500,128.48
7600,130.244
7700,132.658
7800,133.297
7900,134.805
8000,140.845
8100,138.264
8200,139.39
8300,141.119
8400,144.134
8500,144.471
8600,145.55
8700,149.494
8800,149.653
8900,151.674
9000,153.273
9100,155.904
9200,156.885
9300,157.857
9400,160.602
9500,161.621
9600,162.672
9700,165.221
9800,166.73
9900,167.62
10000,173.365
