n,tiempo_ms
100,0.1135
200,0.3157
300,0.6998
400,1.1724
500,1.8293
600,2.9456
700,3.7161
800,4.7525
900,5.992
1000,7.3313
1100,8.9247
1200,9.5793
1300,11.8664
1400,14.7564
1500,17.2333
1600,18.6084
1700,21.4583
1800,23.5546
1900,25.6688
2000,28.9505
2100,31.791
2200,38.0547
2300,37.2078
2400,40.9597
2500,46.5356
2600,49.743
2700,55.4453
2800,58.3078
2900,61.688
3000,64.9091
3100,68.5698
3200,74.783
3300,80.0526
3400,83.5689
3500,88.418
3600,91.4023
3700,102.41
3800,115.577
3900,116.184
4000,122.532
4100,129.978
4200,137.113
4300,140.864
4400,146.258
4500,150.317
4600,155.028
4700,160.582
4800,167.409
4900,170.173
5000,179.324
5100,193.821
5200,198.067
5300,204.645
5400,211.394
5500,215.193
5600,227.379
5700,231.315
5800,249.812
5900,262.236
6000,260.735
6100,269.601
6200,280.048
6300,299.34
6400,300.945
6500,306.459
6600,350.97
6700,675.759
6800,690.297
6900,662.125
7000,701.131
7100,797.635
7200,773.482
7300,844.109
7400,733.181
7500,864.546
7600,775.948
7700,828.597
7800,691.744
7900,487.625
8000,478.277
8100,472.999
8200,517.164
8300,510.363
8400,526.389
8500,527.289
8600,560.922
8700,552.587
8800,567.037
8900,564.666
9000,581.148
9100,594.75
9200,606.369
9300,628.179
9400,640.558
9500,649.12
9600,663.885
9700,681.587
9800,689.713
9900,702.179
10000,718.866
