n,tiempo_ms
200,1.7222
400,3.5926
600,5.9085
800,7.411
1000,8.5155
1200,10.8567
1400,12.4953
1600,15.2888
1800,16.4976
2000,19.712
2200,20.1871
2400,21.3197
2600,24.2576
2800,27.0646
3000,28.6121
3200,27.9695
3400,32.0058
3600,33.21
3800,35.2129
4000,37.7605
4200,38.4024
4400,40.9744
4600,42.4173
4800,48.5699
5000,47.1126
5200,46.7144
5400,50.489
5600,50.7497
5800,53.0695
6000,58.4118
6200,58.6236
6400,59.7518
6600,60.3425
6800,64.1694
7000,62.4453
7200,66.1958
7400,69.6112
7600,71.4422
7800,72.1184
8000,74.1386
8200,76.5231
8400,78.799
8600,81.6854
8800,79.7686
9000,81.5648
9200,81.7045
9400,91.0125
9600,90.7932
9800,93.5985
10000,93.0651
10200,98.8552
10400,95.3969
10600,97.5003
10800,103.173
11000,105.314
11200,102.53
11400,107.711
11600,109.347
11800,110.195
12000,108.544
12200,118.173
12400,114.755
12600,116.591
12800,119.616
13000,121.348
13200,121.809
13400,126.38
13600,125.845
13800,127.781
14000,129.871
14200,138.305
14400,136.669
14600,136.829
14800,140.302
15000,139.292
15200,141.267
15400,143.049
15600,147.914
15800,148.623
16000,151.765
16200,151.882
16400,159.139
16600,155.99
16800,155.407
17000,165.403
17200,163.249
17400,164.356
17600,174.07
17800,171.302
18000,177.453
18200,175.953
18400,175.325
18600,177.195
18800,180.006
19000,178.714
19200,180.032
19400,181.268
19600,185.751
19800,186.725
20000,187.571
