n,tiempo_ms
100,1.0053
200,1.8211
300,2.7372
400,3.5956
500,4.6108
600,5.7277
700,6.7703
800,7.5376
900,8.05
1000,8.9597
1100,8.9674
1200,10.1105
1300,10.5871
1400,13.4305
1500,14.6156
1600,13.4224
1700,14.8553
1800,15.5354
1900,19.0983
2000,19.383
2100,18.3986
2200,19.9037
2300,20.4043
2400,21.5331
2500,22.4564
2600,24.5056
2700,24.006
2800,25.2519
2900,27.8554
3000,31.8114
3100,33.9733
3200,29.3634
3300,31.0382
3400,32.0021
3500,32.6913
3600,31.3452
3700,35.5959
3800,36.554
3900,37.4951
4000,35.2146
4100,37.7169
4200,38.3575
4300,44.762
4400,42.5927
4500,46.2059
4600,40.3324
4700,42.975
4800,43.4842
4900,43.8755
5000,50.258
5100,46.8361
5200,45.3414
5300,47.3851
5400,54.5572
5500,53.1558
5600,53.034
5700,51.0746
5800,51.4999
5900,58.3878
6000,60.0808
6100,57.6271
6200,56.0345
6300,58.6238
6400,59.1169
6500,60.4272
6600,58.2206
6700,61.8648
6800,62.6611
6900,67.1644
7000,70.7526
7100,68.4935
7200,66.1728
7300,67.5938
7400,67.3847
7500,69.2867
7600,67.8537
7700,72.3258
7800,72.5689
7900,77.4768
8000,72.5293
8100,72.6445
8200,73.9913
8300,73.185
8400,77.8713
8500,79.2213
8600,83.5392
8700,78.3372
8800,86.6577
8900,81.4264
9000,80.3195
9100,84.2317
9200,87.6248
9300,86.5872
9400,86.5461
9500,88.3366
9600,86.9191
9700,90.5525
9800,87.7581
9900,90.3298
10000,89.3589
